,Tomas,Rosicky,#Rosicky,Czech Republic,Centre Midfield,Arsenal
@jiri_skalak,Jiri,Skalak,#Skalak,Czech Republic,Right Midfield,Brighton & Hove Albion
,David,Lafata,#Lafata,Czech Republic,Forward,Sparta Prague
@Necka7,Tomas,Necid,#Necid,Czech Republic,Forward,Burkaspor
,Milan,Skoda,#Skoda,Czech Republic,Forward,Slavia Prague
,Roy,Hodgson,#Hodgson,England,Manager,
@FraserForster,Fraser,Forster,#Forster,England,Goalkeeper,Southampton
,Joe,Hart,#Hart,England,Goalkeeper,Manchester City
,Tom,Heaton,#Heaton,England,Goalkeeper,Burnley
@ryanbertrand3,Ryan,Bertrand,#Bertrand,England,Right Back,Southampton
@GaryJCahill,Gary,Cahill,#Cahill,England,Centre Back,Chelsea
@Nathaniel_Clyne,Nathaniel,Clyne,#Clyne,England,Left Back,Liverpool
@DannyRose03,Danny,Rose,#Rose,England,Right Back,Tottenham Hotspur
@ChrisSmalling,Chris,Smalling,#Smalling,England,Centre Back,Manchester United
,John,Stones,#Stones,England,Centre Back,Everton
@kylewalker2,Kyle,Walker,#Walker,England,Right Back,Tottenham Hotspur
@Dele_Alli,Dele,Alli,#Alli,England,Centre Midfield,Tottenham Hotspur
@RBarkley20,Ross,Barkley,#Barkley,England,Centre Midfield,Everton
@ericdier,Eric,Dier,#Dyer,England,Centre Midfield,Tottenham Hotspur
@JHenderson,Jordan,Henderson,#Henderson,England,Right Midfield,Liverpool
,Adam,Lallana,#Lallana,England,Right Midfield,Liverpool
,James,Milner,#Milner,England,Left Midfield,Liverpool
@sterling7,Raheem,Sterling,#Sterling,England,Left Midfield,Manchester City
@JackWilshere,Jack,Wilshere,#Wilshere,England,Centre Midfield,Arsenal
@HKane,Harry,Kane,#Kane,England,Forward,Tottenham Hotspur
@MarcusRashford ,Marcus,Rashford,#Rashford,England,Forward,Manchester United
@WayneRooney,Wayne,Rooney,#Rooney,England,Forward,Manchester United
@DanielSturridge,Daniel,Sturridge,#Sturridge,England,Forward,Liverpool
@vardy7,Jamie,Vardy,#Vardy,England,Forward,Leicester City
,Didier,Deschamps,#Deschamps,France,Manager,
@CostilOff,Benoit,Costil,#Costil,France,Goalkeeper,Rennes
@H_Lloris,Hugo,Lloris,#Lloris,France,Goalkeeper,Tottenham Hotspur
@SteveMandanda,Steve,Mandanda,#Mandanda,France,Goalkeeper,Marseille
@LucasDigne,Lucas,Digne,#Digne,France,Left Back,AS Roma
@PatriceEvraGMF,Patrice,Evra,#Evra,France,Left Back,Juventus
@Jalletofficial,Christophe,Jallet,#Jallet,France,Right Back,Paris Saint Germain
@6_LKOSCIELNY,Laurent,Koscielny,#Koscielny,France,Centre Back,Arsenal
@Elia22Mangala,Eliaquim,Mangala,#Mangala,France,Centre Back,Manchester City
@Sagnaofficial,Bacary,Sagna,#Sagna,France,Right Back,Manchester City
@UmtitiSam,Samuel,Umtiti,#Umtiti,France,Centre Back,Lyon
,Adil,Rami,#Rami,France,Centre Back,Sevilla
@YCabayeofficiel,Yohan,Cabaye,#Cabaye,France,Centre Midfield,Crytal Palace
@NgoloKante17,N'Golo,Kante,#Kante,France,Centre Midfield,Leicester City
@SchneiderlinMo4,Morgan,Schneiderlin ,#Schneiderlin ,France,Centre Midfield,Manchester United
@MATUIDIBlaise,Blaise,Matuidi,#Matuidi,France,Centre Midfield,Paris Saint Germain
@paulpogba,Paul,Pogba,#Pogba,France,Centre Midfield,Juventus
@MoussaSissoko,Moussa,Sissoko,#Sissoko,France,Left Midfield,Newcastle
@kingsleeeeyy,Kingsley,Coman,#Coman,France,Right Midfield,Juventus
@10APG,Andre-Pierre,Gignac,#Gignac,France,Forward,Tigres UANL
@_OlivierGiroud_,Olivier,Giroud,#Giroud,France,Forward,Arsenal
@AntoGriezmann,Antoine,Griezmann,#Griezmann,France,Forward,Atletico Madrid
@AnthonyMartial,Anthony,Martial,#Martial,France,Left Midfield,Manchester United
@dimpayet17,Dimitri,Payet,#Payet,France,Right Midfield,West Ham United
,Joachim,Low,#Löw,Germany,Manager,
@Manuel_Neuer,Manuel,Neuer,#Neuer,Germany,Goalkeeper,Bayern Munich
@Bernd_Leno,Bernd,Leno,#Leno,Germany,Goalkeeper,Bayer 04 Leverkusen
@mterstegen1,Marc-André,ter-Stegen,#ter-Stegen,Germany,Goalkeeper,FC Barcelona
@JB17Official,Jerome,Boateng,#Boateng,Germany,Centre Back,Bayern Munich
@ecofficial23,Emre,Can,#Can,Germany,Centre Midfield,Liverpool
,Jonas,Hector,#Hector,Germany,Left Back,FC Köln
@BeneHowedes,Benedikt,Howedes,#Howedes,Germany,Centre Back,FC Schalke 04
@matshummels,Mats,Hummels,#Hummels,Germany,Centre Back,Bayern Munich
@MustafiOfficial,Shkodran,Mustafi,#Mustafi,Germany,Centre Back,Valencia
@ToniRuediger,Antonio,Rudiger,#Rudiger,Germany,Centre Back,A.S. Roma
@Sami_Khedira_24,Sami,Khedira,#Khedira,Germany,Centre Midfield,Juventus
@BSchweinsteiger,Bastian,Schweinsteiger,#Schweinsteiger,Germany,Centre Midfield,Manchester United
@MesutOzil1088,Mesut,Ozil,#Ozil,Germany,Centre Midfield,Arsenal
@Andre_Schuerrle,Andre,Schurrle,#Schurrle,Germany,Left Midfield,Vfl Wolfsburg
@ToniKroos,Toni,Kroos,#Kroos,Germany,Centre Midfield,Real Madrid
@MarioGoetze,Mario,Gotze,#Gotze,Germany,Forward,Bayern Munich
@Julian_Draxler,Julian,Draxler,#Draxler,Germany,Centre Midfield,Vfl Wolfsburg
,Leroy,Sane,#Sane,Germany,Right Midfield,FC Schalke 04
@JuWeigl,Julian,Weigl,#Weigl,Germany,Centre Midfield,Borussia Dortmund
@JoshuaKimmich,Joshua,Kimmich,#Kimmich,Germany,Centre Midfield,Bayern Munich
,Thomas,Muller,#Muller,Germany,Forward,Bayern Munich
@Mario_Gomez,Mario,Gomez,#Gomez,Germany,Forward,Fiorentina
@Podolski10,Lukas,Podolski,#Podolski,Germany,Forward,Galatasaray
,Bernd,Storck,#Storck,Hungary,Manager,
