,Ante,Cacic,#Cacic,Croatia ,Manager,
@SubasicDanijel,Danijel,Subasic,#Subasic,Croatia ,Goalkeeper,Monaco
,Lovre,Kalinic,#Kalinic,Croatia ,Goalkeeper,Hajduk Split
,Ivan,Vargic ,#Vargic ,Croatia ,Goalkeeper,Rijeka
,Vedran,Corluka,#Corluka,Croatia ,Center Back,Lokomotiv Moscow
@SrnaDarijo,Darijo,Srna,#Srna,Croatia ,Right Back,Shakhtar Donetsk
,Domagoj,Vida,#Vida,Croatia ,Center Back,Dynamo Kyiv
,Sime,Vrsaljko,#Vrsaljko,Croatia ,Right Back,Sassuolo
,Gordon,Schildenfeld,#Schildenfeld,Croatia ,Center Back,Dinamo Zagreb
,Ivan,Strinic,#Strinic,Croatia ,Left Back,Napoli
,Tin,Jedvaj,#Jedvaj,Croatia ,Center Back,Bayer 04 Leverkusen
@Modric19,Luka,Modric,#Modric,Croatia ,Center Midfield,Real Madrid
@ivanrakitic,Ivan,Rakitic,#Rakitic,Croatia ,Center Midfield,FC Barcelona
@kovacic_mateo,Mateo,Kovacic,#Kovacic,Croatia ,Center Midfield,Real Madrid
@BrozovicMarcelo,Marcelo,Brozovic,#Brozovic,Croatia ,Center Midfield,Inter Milan
,Milan,Badelj,#Badelj,Croatia ,Center Midfield,Fiorentina
,Ivan,Perisic,#Perisic,Croatia ,Left Midfield,Inter Milan
,Marko,Rog,#Rog,Croatia ,Center Midfield,Dinamo Zagreb
,Ante,Coric,#Coric,Croatia ,Center Midfield,Dinamo Zagreb
@MarioMandzukic9,Mario,Mandzukic,#Mandzukic,Croatia ,Forward,Juventus
@nikola_kalina,Nikola,Kalinic,#Kalinic,Croatia ,Forward,Fiorentina
,Marko,Pjaca,#Pjaca,Croatia ,Forward,Dinamo Zagreb
,Duje ,Cop,#Cop,Croatia ,Forward,Dinamo Zagreb
@andrejkramaric9,Andrej,Kramaric,#Kramaric,Croatia ,Forward,Leicester City
,Pavel,Vrba,#Vrba,Czech Republic,Manager,
@PetrCech,Petr,Cech,#Cech,Czech Republic,Goalkeeper,Arsenal
,Tomasz,Vaclik,#Vaclik,Czech Republic,Goalkeeper,FC Basel
,Tomasz,Koubek,#Koubek,Czech Republic,Goalkeeper,Slovan Liberec
,Theodor,Gebre Selassie,#Gebre Selassie,Czech Republic,Right Back,Werder Bremen
,Roman,Hubnik,#Hubnik,Czech Republic,Center Back,Viktoria Pilsen
,Pavel,Kaderabek,#Kaderabek,Czech Republic,Right Back,TSG 1899 Hoffenheim
@kadlec_michal,Michal,Kadlec,#Kadlec,Czech Republic,Center Back,Fenerbahce
,David,Limbersky,#Limbersky,Czech Republic,Left Back,Viktoria Plzen
@Pupik33,Daniel,Pudil,#Pudil,Czech Republic,Left Back,Sheffield Wednesday
,Marek,Suchy,#Suchy,Czech Republic,Center Back,FC Basel
,Tomas,Sivok,#Sivok,Czech Republic,Center Back,Bursaspor
,Vladimir,Darida,#Darida,Czech Republic,Center Midfield,Hertha Berlin
@BorekDockal,Borek,Dockal,#Dockal,Czech Republic,Right Midfield,Sparta Prague
,Daniel,Kolar,#Kolar,Czech Republic,Center Midfield,Viktoria Plzen
,Ladislav,Krejci,#Krejci,Czech Republic,Left Midfield,Sparta Prague
,Josef,Sural,#Sural,Czech Republic,Right Midfield,Sparta Prague
,David,Pavelka,#Pavelka,Czech Republic,Center Midfield,Kasimpasa
,Jaroslav,Plasil,#Plasil,Czech Republic,Center Midfield,Bordeaux
