Twitter Handle,First Name,Last Name,#playername,Country,Position,Club
,Gordon,Schildenfeld,#Schildenfeld,Croatia ,Centre Back,Dinamo Zagreb
,Ivan,Strinic,#Strinic,Croatia ,Left Back,Napoli
,Tin,Jedvaj,#Jedvaj,Croatia ,Centre Back,Bayer 04 Leverkusen
@Modric19,Luka,Modric,#Modric,Croatia ,Centre Midfield,Real Madrid
@ivanrakitic,Ivan,Rakitic,#Rakitic,Croatia ,Centre Midfield,FC Barcelona
@kovacic_mateo,Mateo,Kovacic,#Kovacic,Croatia ,Centre Midfield,Real Madrid
@BrozovicMarcelo,Marcelo,Brozovic,#Brozovic,Croatia ,Centre Midfield,Inter Milan
,Milan,Badelj,#Badelj,Croatia ,Centre Midfield,Fiorentina
,Ivan,Perisic,#Perisic,Croatia ,Left Midfield,Inter Milan
,Marko,Rog,#Rog,Croatia ,Centre Midfield,Dinamo Zagreb
,Ante,Coric,#Coric,Croatia ,Centre Midfield,Dinamo Zagreb
@MarioMandzukic9,Mario,Mandzukic,#Mandzukic,Croatia ,Forward,Juventus
@nikola_kalina,Nikola,Kalinic,#Kalinic,Croatia ,Forward,Fiorentina
,Marko,Pjaca,#Pjaca,Croatia ,Forward,Dinamo Zagreb
,Duje ,Cop,#Cop,Croatia ,Forward,Dinamo Zagreb
@andrejkramaric9,Andrej,Kramaric,#Kramaric,Croatia ,Forward,Leicester City
,Pavel,Vrba,#Vrba,Czech Republic,Manager,
@PetrCech,Petr,Cech,#Cech,Czech Republic,Goalkeeper,Arsenal
,Tomasz,Vaclik,#Vaclik,Czech Republic,Goalkeeper,FC Basel
,Tomasz,Koubek,#Koubek,Czech Republic,Goalkeeper,Slovan Liberec
,Theodor,Gebre Selassie,#Gebre Selassie,Czech Republic,Right Back,Werder Bremen
,Roman,Hubnik,#Hubnik,Czech Republic,Centre Back,Viktoria Pilsen
,Pavel,Kaderabek,#Kaderabek,Czech Republic,Right Back,TSG 1899 Hoffenheim
@kadlec_michal,Michal,Kadlec,#Kadlec,Czech Republic,Centre Back,Fenerbahce
,David,Limbersky,#Limbersky,Czech Republic,Left Back,Viktoria Plzen
@Pupik33,Daniel,Pudil,#Pudil,Czech Republic,Left Back,Sheffield Wednesday
,Marek,Suchy,#Suchy,Czech Republic,Centre Back,FC Basel
,Tomas,Sivok,#Sivok,Czech Republic,Centre Back,Bursaspor
,Vladimir,Darida,#Darida,Czech Republic,Centre Midfield,Hertha Berlin
@BorekDockal,Borek,Dockal,#Dockal,Czech Republic,Right Midfield,Sparta Prague
,Daniel,Kolar,#Kolar,Czech Republic,Centre Midfield,Viktoria Plzen
,Ladislav,Krejci,#Krejci,Czech Republic,Left Midfield,Sparta Prague
,Josef,Sural,#Sural,Czech Republic,Right Midfield,Sparta Prague
,David,Pavelka,#Pavelka,Czech Republic,Centre Midfield,Kasimpasa
,Jaroslav,Plasil,#Plasil,Czech Republic,Centre Midfield,Bordeaux
,Tomas,Rosicky,#Rosicky,Czech Republic,Centre Midfield,Arsenal
@jiri_skalak,Jiri,Skalak,#Skalak,Czech Republic,Right Midfield,Brighton & Hove Albion
,David,Lafata,#Lafata,Czech Republic,Forward,Sparta Prague
@Necka7,Tomas,Necid,#Necid,Czech Republic,Forward,Burkaspor
,Milan,Skoda,#Skoda,Czech Republic,Forward,Slavia Prague
,Roy,Hodgson,#Hodgson,England,Manager,
@FraserForster,Fraser,Forster,#Forster,England,Goalkeeper,Southampton
,Joe,Hart,#Hart,England,Goalkeeper,Manchester City
,Tom,Heaton,#Heaton,England,Goalkeeper,Burnley
@ryanbertrand3,Ryan,Bertrand,#Bertrand,England,Right Back,Southampton
@GaryJCahill,Gary,Cahill,#Cahill,England,Center Back,Chelsea
@Nathaniel_Clyne,Nathaniel,Clyne,#Clyne,England,Left Back,Liverpool
@DannyRose03,Danny,Rose,#Rose,England,Right Back,Tottenham Hotspur
@ChrisSmalling,Chris,Smalling,#Smalling,England,Center Back,Manchester United
,John,Stones,#Stones,England,Center Back,Everton
@kylewalker2,Kyle,Walker,#Walker,England,Right Back,Tottenham Hotspur
@Dele_Alli,Dele,Alli,#Alli,England,Center Midfield,Tottenham Hotspur
@RBarkley20,Ross,Barkley,#Barkley,England,Center Midfield,Everton
@ericdier,Eric,Dier,#Dyer,England,Center Midfield,Tottenham Hotspur
@JHenderson,Jordan,Henderson,#Henderson,England,Right Midfield,Liverpool
,Adam,Lallana,#Lallana,England,Right Midfield,Liverpool
,James,Milner,#Milner,England,Left Midfield,Liverpool
@sterling7,Raheem,Sterling,#Sterling,England,Left Midfield,Manchester City
@JackWilshere,Jack,Wilshere,#Wilshere,England,Center Midfield,Arsenal
@HKane,Harry,Kane,#Kane,England,Forward,Tottenham Hotspur
@MarcusRashford ,Marcus,Rashford,#Rashford,England,Forward,Manchester United
@WayneRooney,Wayne,Rooney,#Rooney,England,Forward,Manchester United
@DanielSturridge,Daniel,Sturridge,#Sturridge,England,Forward,Liverpool
@vardy7,Jamie,Vardy,#Vardy,England,Forward,Leicester City
,Didier,Deschamps,#Deschamps,France,Manager,
@CostilOff,Benoit,Costil,#Costil,France,Goalkeeper,Rennes
@H_Lloris,Hugo,Lloris,#Lloris,France,Goalkeeper,Tottenham Hotspur
@SteveMandanda,Steve,Mandanda,#Mandanda,France,Goalkeeper,Marseille
@LucasDigne,Lucas,Digne,#Digne,France,Left Back,AS Roma
@PatriceEvraGMF,Patrice,Evra,#Evra,France,Left Back,Juventus
@Jalletofficial,Christophe,Jallet,#Jallet,France,Right Back,Paris Saint Germain
@6_LKOSCIELNY,Laurent,Koscielny,#Koscielny,France,Centre Back,Arsenal
@Elia22Mangala,Eliaquim,Mangala,#Mangala,France,Centre Back,Manchester City
@Sagnaofficial,Bacary,Sagna,#Sagna,France,Right Back,Manchester City
@UmtitiSam,Samuel,Umtiti,#Umtiti,France,Centre Back,Lyon
,Adil,Rami,#Rami,France,Centre Back,Sevilla
@YCabayeofficiel,Yohan,Cabaye,#Cabaye,France,Centre Midfield,Crytal Palace
@NgoloKante17,N'Golo,Kante,#Kante,France,Centre Midfield,Leicester City
@SchneiderlinMo4,Morgan,Schneiderlin ,#Schneiderlin ,France,Centre Midfield,Manchester United
@MATUIDIBlaise,Blaise,Matuidi,#Matuidi,France,Centre Midfield,Paris Saint Germain
@paulpogba,Paul,Pogba,#Pogba,France,Centre Midfield,Juventus
@MoussaSissoko,Moussa,Sissoko,#Sissoko,France,Left Midfield,Newcastle
@kingsleeeeyy,Kingsley,Coman,#Coman,France,Right Midfield,Juventus
@10APG,Andre-Pierre,Gignac,#Gignac,France,Forward,Tigres UANL
@_OlivierGiroud_,Olivier,Giroud,#Giroud,France,Forward,Arsenal
@AntoGriezmann,Antoine,Griezmann,#Griezmann,France,Forward,Atletico Madrid
@AnthonyMartial,Anthony,Martial,#Martial,France,Left Midfield,Manchester United
@dimpayet17,Dimitri,Payet,#Payet,France,Right Midfield,West Ham United
,Joachim,Low,#LÃ¶w,Germany,Manager,
@Manuel_Neuer,Manuel,Neuer,#Neuer,Germany,Goalkeeper,Bayern Munich
@Bernd_Leno,Bernd,Leno,#Leno,Germany,Goalkeeper,Bayer 04 Leverkusen
@mterstegen1,Marc-AndrÃ©,ter-Stegen,#ter-Stegen,Germany,Goalkeeper,FC Barcelona
@JB17Official,Jerome,Boateng,#Boateng,Germany,Centre Back,Bayern Munich
@ecofficial23,Emre,Can,#Can,Germany,Centre Midfield,Liverpool
,Jonas,Hector,#Hector,Germany,Left Back,FC KÃ¶ln
@BeneHowedes,Benedikt,Howedes,#Howedes,Germany,Centre Back,FC Schalke 04
@matshummels,Mats,Hummels,#Hummels,Germany,Centre Back,Bayern Munich
@MustafiOfficial,Shkodran,Mustafi,#Mustafi,Germany,Centre Back,Valencia
@ToniRuediger,Antonio,Rudiger,#Rudiger,Germany,Centre Back,A.S. Roma
@Sami_Khedira_24,Sami,Khedira,#Khedira,Germany,Centre Midfield,Juventus
@BSchweinsteiger,Bastian,Schweinsteiger,#Schweinsteiger,Germany,Centre Midfield,Manchester United
@MesutOzil1088,Mesut,Ozil,#Ozil,Germany,Centre Midfield,Arsenal
@Andre_Schuerrle,Andre,Schurrle,#Schurrle,Germany,Left Midfield,Vfl Wolfsburg
@ToniKroos,Toni,Kroos,#Kroos,Germany,Centre Midfield,Real Madrid
@MarioGoetze,Mario,Gotze,#Gotze,Germany,Forward,Bayern Munich
@Julian_Draxler,Julian,Draxler,#Draxler,Germany,Centre Midfield,Vfl Wolfsburg
,Leroy,Sane,#Sane,Germany,Right Midfield,FC Schalke 04
@JuWeigl,Julian,Weigl,#Weigl,Germany,Centre Midfield,Borussia Dortmund
@JoshuaKimmich,Joshua,Kimmich,#Kimmich,Germany,Centre Midfield,Bayern Munich
,Thomas,Muller,#Muller,Germany,Forward,Bayern Munich
@Mario_Gomez,Mario,Gomez,#Gomez,Germany,Forward,Fiorentina
@Podolski10,Lukas,Podolski,#Podolski,Germany,Forward,Galatasaray
,Bernd,Storck,#Storck,Hungary,Manager,
,Gabor,Kiraly,#Kiraly,Hungary,Goalkeeper,Haladas
,Denes,Dibusz,#Dibusz,Hungary,Goalkeeper,Ferencvaros
,Peter,Gulacsi ,#Gulacsi ,Hungary,Goalkeeper,Leipzig
,Attila,Fiola,#Fiola,Hungary,Right Back,Puskas Akademia
,Barnabas,Bese,#Bese,Hungary,Right Back,MTK Budapest
,Richard,Guzmics ,#Guzmics ,Hungary,Centre Back,Wisla Krakow
,Roland,Juhasz,#Juhasz,Hungary,Centre Back,Videoton
,Adam,Lang,#Lang,Hungary,Centre Back,Videoton
,Tamas,Kadar,#Kadar,Hungary,Left Back,Lech Poznan
,Mihaly,Korhut,#Korhut,Hungary,Left Back,Debrecen
,Akos,Elek,#Elek,Hungary,Centre Midfield,Diosgyori
,Adam,Pinter,#Pinter,Hungary,Centre Midfield,Ferencvaros
@ZoltanGera22,Zoltan,Gera ,#Gera ,Hungary,Centre Midfield,Ferencvaros
,Adam,Nagy ,#Nagy ,Hungary,Centre Midfield,Ferencvaros
,Laszlo,Kleinheisler,#Kleinheisler,Hungary,Centre Midfield,Werder Bremen
,Gergo ,Lovrencsics,#Lovrencsics,Hungary,Right Midfield,Lech Poznan
@ZoltanStieber,Zoltan,Stieber,#Stieber,Hungary,Left Midfield,Nurnberg
@BalaszDzsudzsak,Balazs,Dzsudzsak,#Dzsudzsak,Hungary,Forward,Bursaspor
@Adam_Szalai28,AdÃ¡m,Szalai,#Szalai,Hungary,Forward,Hannover
@KNemeth_Nemo,Krisztian,Nemeth ,#Nemeth ,Hungary,Forward,al-Gharafa
,Nemanja,Nikolics,#Nikolics,Hungary,Forward,Legia Warsaw
@TamasPriskin,Tamas,Priskin,#Priskin,Hungary,Forward,Slovan Bratislava
,Daniel,Bode,#Bode,Hungary,Forward,Ferencvaros
,Lars,LagerbÃ_ck,#LagerbÃ_ck,Iceland,Manager,
,Hannes,Halldorsson,#Halldorsson,Iceland,Goalkeeper,FK BodÃ¸/Glimt
@OmmiKristins,Ogmundur,Kristinsson,#Kristinsson,Iceland,Goalkeeper,Hammarby
,Ingvar,Jonsson,#Jonsson,Iceland,Goalkeeper,Sandefjord
@Skulason11,Ari,Skulason,#Skulason,Iceland,Left Midfield,OB
,Hordur,Magnusson,#Magnusson,Iceland,Centre Back,Cesena
@hjorturhermanns,Hjortur,Hermannsson ,#Hermannsson ,Iceland,Centre Back,PSV Eindhoven
,Ragnar,Sigurdsson,#Sigurdsson,Iceland,Centre Back,Krasnodar
@karibestmeister,Kari,Arnason,#Arnason,Iceland,Centre Back,Malmo
@SverrirIngi,Sverrir,Ingi Ingason,#Ingi Ingason,Iceland,Centre Back,Lokeren
,Birkir,SÃ_varsson,#SÃ_varsson,Iceland,Right Back,Hammarby
@haukurheidarh,Haukur,Heidar Hauksson,#HeidarHauksson,Iceland,Right Back,AIK 
@EmmiHall,Emil,Hallfredsson,#Hallfredsson,Iceland,Centre Midfield,Udines
,Gylfi ,Sigurdsson,#Sigurdsson,Iceland,Centre Midfield,Swansea
@AGunnarssonNews,Aron ,Gunnarsson,#Gunnarsson,Iceland,Centre Midfield,Cardiff
,Theodor,Elmar Bjarnason,#ElmarBjarnason,Iceland,Left Midfield,AGF
@NoriTrausta,Arnor,Ingvi Traustason ,#IngviTraustason ,Iceland,Left Midfield,Norrkoping
@bbjarnason8,Birkir ,Bjarnason,#Bjarnason,Iceland,Right Midfield,FC Basel
@Gudmundsson7,Johann,Gudmundsson,#Gudmundsson,Iceland,Left Midfield,Charlton Athletic
@Eidur22Official,Eidur ,Gudjohnsen,#Gudjohnsen,Iceland,Forward,Molde
